Question_ID,Questions,Answers,Preprocessed_Questions,Preprocessed_Answers,Sentiment
1590140,What does it mean to have a mental illness?,"Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning.",mean mental illness,mental illnesses health conditions disrupt person 's thoughts emotions relationships daily functioning,negative
2110618,Who does mental illness affect?,"Mental illness does can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background.",mental illness affect,mental illness affect anyone regardless gender age income social status ethnicity religion sexual orientation background,negative
9434130,What are some of the warning signs of mental illness?,Symptoms of mental health disorders vary depending on the type and severity of the condition.,warning signs mental illness,symptoms mental health disorders vary depending type severity condition,negative
7657263,Can people with mental illness recover?,"When healing from mental illness, early identification and treatment are of vital importance. ",people mental illness recover,healing mental illness early identification treatment vital importance,negative
1619387,What should I do if I know someone who appears to have the symptoms of a mental disorder?,We encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional.,know someone appears symptoms mental disorder,encourage symptoms talk friends family members seek counsel mental health professional,negative
1030153,How can I find a mental health professional for myself or my child?,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment.,find mental health professional child,feeling comfortable professional child working critical success treatment,neutral
8022026,What treatment options are available?,Different treatment options are available for individuals with mental illness.,treatment options available,different treatment options available individuals mental illness,neutral
1155199,"If I become involved in treatment, what do I need to know?",It is important to be as involved and engaged in the treatment process as possible.,become involved treatment need know,important involved engaged treatment process possible,neutral
7760466,What is the difference between mental health professionals?,"There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research.",difference mental health professionals,many types mental health professionals variety providers services may confusing various levels education training may different areas expertise finding professional best fits needs may require research,neutral
2553795,How can I find a mental health professional right for my child or myself?,Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research.,find mental health professional right child,feeling comfortable professional child working critical success treatment finding professional best fits needs may require research,neutral
1259439,If I become involved in treatment what do I need to know?,It is important to continue involvement in the treatment process as much as possible.,become involved treatment need know,important continue involvement treatment process much possible,neutral
4197817,Where else can I get help?,"family member, friend, clergy, healthcare provider, or other professionals",else get help,family member friend clergy healthcare provider professionals,positive
3388962,What should I know before starting a new medication?,The best source of information regarding medications is the physician prescribing them,know starting new medication,best source information regarding medications physician prescribing,neutral
5343181,"If I feel better after taking medication, does this mean I am ""cured"" and can stop taking it?",Create a plan for switching to a different treatment that will be a better fit.,feel better taking medication mean `` cured '' stop taking,create plan switching different treatment better fit,positive
5778437,How can I get help paying for my medication?,Visit Healthfinder.gov to learn more.,get help paying medication,visit healthfinder.gov learn,positive
9541219,Where can I go to find therapy,Several different types of treatment and therapy that can help.,go find therapy,several different types treatment therapy help,neutral
3268009,Where can I learn about types of mental health treatment?,"Mental health conditions are often treated with medication, therapy or a combination of the two.",learn types mental health treatment,mental health conditions often treated medication therapy combination two,neutral
3340726,What are the different types of mental health professionals?,There are many types of mental health professionals. Finding the right one for you may require some research.,different types mental health professionals,many types mental health professionals finding right one may require research,neutral
9539480,Where can I go to find a support group?,Many people find peer support a helpful tool that can aid in their recovery. ,go find support group,many people find peer support helpful tool aid recovery,positive
4211025,Where can I go to find inpatient care?,"Inpatient care can help people stabilize on new medications, adjust to new symptoms, or get the help they need.",go find inpatient care,inpatient care help people stabilize new medications adjust new symptoms get help need,positive
4031860,Where can I go to find other local services?,"There are likely plenty of resources that can be used to help you find mental health treatment in your community. These resources can help you find the right therapist, and enable you to better understand viable treatment options and the treatment process.",go find local services,likely plenty resources used help find mental health treatment community resources help find right therapist enable better understand viable treatment options treatment process,neutral
5215843,Where can I learn more information about clinical trials?,"Sometimes, consumers of mental health services may consider participating in a research study when they have not experienced improvement despite having tried a variety of medications and treatments. Research studies (also known as clinical trials) may involve the use of new medications or new treatment approaches whose safety and effectiveness is being tested. While we support innovation in the field, consumers should be cautioned that there are risks associated with clinical trials – make sure you’re aware of them before you enroll.",learn information clinical trials,sometimes consumers mental health services may consider participating research study experienced improvement despite tried variety medications treatments research studies also known clinical trials may involve use new medications new treatment approaches whose safety effectiveness tested support innovation field consumers cautioned risks associated clinical trials – make sure ’ aware enroll,neutral
8927672,Where can I learn more information about creating a Psychiatric Advance Directive?,"Similar to a medical advance directive or a health care power of attorney, a psychiatric advance directive is a legal document completed in a time of wellness that provides instructions regarding treatment or services one wishes to have or not have during a mental health crisis, and may help influence his or her care.",learn information creating psychiatric advance directive,similar medical advance directive health care power attorney psychiatric advance directive legal document completed time wellness provides instructions regarding treatment services one wishes mental health crisis may help influence care,positive
7728364,What is mental health?,"We all have mental health which is made up of our beliefs, thoughts, feelings and behaviours.",mental health,mental health made beliefs thoughts feelings behaviours,neutral
4194958,What do I do if the support doesn’t help?,"It can be difficult to find the things that will help you, as different things help different people. It's important to be open to a range of approaches and to be committed to finding the right help and to continue to be hopeful, even when some things don't work out.",support ’ help,difficult find things help different things help different people 's important open range approaches committed finding right help continue hopeful even things n't work,positive
1667863,Can you prevent mental health problems?,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious.",prevent mental health problems,suffer mental health challenges developing wellbeing resilience seeking help early help prevent challenges becoming serious,negative
8904276,Are there cures for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.",cures mental health problems,often realistic helpful find helps issues face talking counselling medication friendships exercise good sleep nutrition meaningful occupation help,negative
4283807,What causes mental health problems?,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events.",causes mental health problems,challenges problems mental health arise psychological biological social issues well life events,negative
8690253,What do I do if I’m worried about my mental health?,"The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help.",’ worried mental health,important thing talk someone trust might friend colleague family member gp addition talking someone may useful find information experiencing things may help get perspective experiencing start getting help,negative
2973656,How do I know if I’m unwell?,"If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help.",know ’ unwell,beliefs thoughts feelings behaviours significant impact ability function might considered normal ordinary way would important seek help,neutral
4759773,What should I do if I’m worried about a friend or relative?,This may depend on your relationship with them. Gently encouraging someone to seek appropriate support would be helpful to start with.,’ worried friend relative,may depend relationship gently encouraging someone seek appropriate support would helpful start,positive
1511075,How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but it's important to find out what works best for you.",deal someone telling,people may advise good evidence works best intentions 's important find works best,neutral
